prompt_tokens,completion_tokens,total_tokens
927,342,1269
1283,97,1380
1013,342,1355
1369,97,1466
1099,342,1441
1455,97,1552
1185,342,1527
1541,97,1638
1271,342,1613
1627,97,1724
1357,342,1699
1713,97,1810
1443,342,1785
1799,97,1896
1529,342,1871
1885,97,1982
1615,342,1957
1971,97,2068
1701,342,2043
2057,97,2154
1787,342,2129
2143,97,2240
1873,342,2215
2229,97,2326
1959,342,2301
2315,97,2412
2045,342,2387
2401,97,2498
2131,342,2473
2487,97,2584
2217,342,2559
2573,97,2670
2303,342,2645
2659,97,2756
2389,342,2731
2745,97,2842
2475,342,2817
2831,97,2928
2561,342,2903
2917,97,3014
2647,342,2989
3003,97,3100
2733,342,3075
3089,97,3186
2819,342,3161
3175,97,3272
2905,342,3247
3261,97,3358
2991,342,3333
3347,97,3444
3077,342,3419
3433,97,3530
3163,342,3505
3519,97,3616
3249,342,3591
3249,72,3321
3605,97,3702
3335,342,3677
3691,97,3788
3421,342,3763
3777,97,3874
3507,342,3849
3863,97,3960
3593,342,3935
3949,97,4046
3679,342,4021
4035,97,4132
3765,342,4107
4121,97,4218
3851,342,4193
4207,97,4304
3937,342,4279
4293,97,4390
4023,342,4365
4379,97,4476
4109,342,4451
4465,97,4562
4195,342,4537
4551,97,4648
4281,342,4623
4637,97,4734
4367,342,4709
4723,97,4820
4453,342,4795
4809,97,4906
4539,342,4881
4895,97,4992
4625,342,4967
4981,97,5078
4711,342,5053
5067,97,5164
4797,342,5139
5153,97,5250
4883,342,5225
5239,97,5336
4969,342,5311
5325,97,5422
5055,342,5397
5411,97,5508
5141,342,5483
5497,97,5594
5227,342,5569
5583,97,5680
5313,342,5655
5669,97,5766
5399,342,5741
5399,72,5471
5755,97,5852
5485,342,5827
5841,97,5938
5571,342,5913
5927,97,6024
5657,342,5999
6013,97,6110
5743,342,6085
5743,72,5815
6099,97,6196
5829,342,6171
6185,97,6282
5915,342,6257
6271,97,6368
6001,342,6343
6357,97,6454
6087,342,6429
6443,97,6540
6173,342,6515
6173,72,6245
6529,97,6626
6259,342,6601
6615,97,6712
6345,342,6687
6345,72,6417
6701,97,6798
6431,342,6773
6787,97,6884
6517,342,6859
6873,97,6970
6603,342,6945
6959,97,7056
6689,342,7031
7045,97,7142
6775,342,7117
7131,97,7228
6861,342,7203
7217,97,7314
6947,342,7289
7303,97,7400
7033,342,7375
7389,97,7486
7119,342,7461
7475,97,7572
7205,342,7547
7205,72,7277
7561,97,7658
7291,342,7633
7647,97,7744
7377,342,7719
7733,97,7830
7463,342,7805
7819,97,7916
7549,342,7891
7905,97,8002
7635,342,7977
7991,97,8088
7721,342,8063
8077,97,8174
7807,342,8149
8163,97,8260
7893,342,8235
8249,97,8346
7979,342,8321
8335,97,8432
8065,342,8407
8065,141,8206
8421,97,8518
8151,342,8493
8151,72,8223
8507,97,8604
8237,342,8579
8593,97,8690
8323,342,8665
8323,72,8395
8679,97,8776
8409,342,8751
8409,72,8481
8409,72,8481
8765,97,8862
8495,342,8837
8495,72,8567
8495,72,8567
8495,72,8567
8851,97,8948
8581,342,8923
8937,97,9034
8667,342,9009
9023,97,9120
8753,342,9095
8753,72,8825
9109,97,9206
8839,342,9181
8839,72,8911
8839,72,8911
9195,97,9292
8925,342,9267
9281,97,9378
9011,342,9353
9011,72,9083
9011,72,9083
9367,97,9464
9097,342,9439
9453,97,9550
9183,342,9525
9183,141,9324
9539,97,9636
9269,342,9611
9625,97,9722
9355,342,9697
9355,208,9563
9711,97,9808
9441,342,9783
9441,72,9513
9797,97,9894
